dealer_name,brand,model,year_of_release,country_of_origin,fuel_type,engine_volume,transmission_box,drive_type,region,quantity,price_USD,sale_USD,area,segment_2013,class_2013,sale_date,sale_quarter,car_age
Mercur Auto,Audi,A3,2018,DEU,F,1.4,Автомат,FWD,Алматы,1,28115.0,28115.0,Алматинская Область,Легковые автомобили,C класс,2019-05-31,2,1
Mercur Auto,Audi,A3,2018,DEU,F,1.4,Автомат,FWD,Алматы,1,32246.99,32246.99,Алматинская Область,Легковые автомобили,C класс,2019-08-31,3,1
Mercur Auto,Audi,A4,2018,DEU,F,1.4,Автомат,FWD,Алматы,1,32000.0,32000.0,Алматинская Область,Легковые автомобили,D класс,2019-04-30,2,1
Mercur Auto,Audi,A4,2018,DEU,F,1.4,Автомат,FWD,Алматы,1,31929.0,31929.0,Алматинская Область,Легковые автомобили,D класс,2019-07-31,3,1
Mercur Auto,Audi,A6,2017,DEU,F,2.0,Автомат,AWD,Нур-Султан,1,42608.25,42608.25,Акмолинская Область,Легковые автомобили,E класс,2019-02-28,1,2
Mercur Auto,Audi,A6,2019,DEU,F,3.0,Автомат,AWD,Алматы,1,82344.0,82344.0,Алматинская Область,Легковые автомобили,E класс,2019-05-31,2,0
Mercur Auto,Audi,A6,2019,DEU,F,3.0,Автомат,AWD,Алматы,1,78940.0,78940.0,Алматинская Область,Легковые автомобили,E класс,2019-06-30,2,0
Mercur Auto,Audi,A6,2017,DEU,F,3.0,Автомат,AWD,Алматы,1,64474.0,64474.0,Алматинская Область,Легковые автомобили,E класс,2019-06-30,2,2
Mercur Auto,Audi,A6,2019,DEU,F,3.0,Автомат,AWD,Алматы,1,84329.0,84329.0,Алматинская Область,Легковые автомобили,E класс,2019-07-31,3,0
Mercur Auto,Audi,A6,2019,DEU,F,3.0,Автомат,AWD,Нур-Султан,1,88028.63,88028.63,Акмолинская Область,Легковые автомобили,E класс,2019-08-31,3,0
Mercur Auto,Audi,A6,2019,DEU,F,3.0,Автомат,AWD,Алматы,1,88028.63,88028.63,Алматинская Область,Легковые автомобили,E класс,2019-08-31,3,0
Mercur Auto,Audi,A7,2018,DEU,F,3.0,Автомат,AWD,Алматы,1,91600.0,91600.0,Алматинская Область,Легковые автомобили,E класс,2019-09-30,3,1
Mercur Auto,Audi,A7,2018,DEU,F,3.0,Автомат,AWD,Алматы,1,79500.0,79500.0,Алматинская Область,Легковые автомобили,E класс,2019-09-30,3,1
Mercur Auto,Audi,A8,2018,DEU,F,3.0,Автомат,AWD,Алматы,1,129935.21,129935.21,Алматинская Область,Легковые автомобили,F класс,2019-01-31,1,1
Mercur Auto,Audi,A8,2018,DEU,F,3.0,Автомат,AWD,Алматы,1,91132.0,91132.0,Алматинская Область,Легковые автомобили,F класс,2019-07-31,3,1
Mercur Auto,Audi,A8,2018,DEU,F,3.0,Автомат,AWD,Алматы,1,121300.0,121300.0,Алматинская Область,Легковые автомобили,F класс,2019-09-30,3,1
Mercur Auto,Audi,A8,2018,DEU,F,3.0,Автомат,AWD,Алматы,1,124300.0,124300.0,Алматинская Область,Легковые автомобили,F класс,2019-09-30,3,1
Mercur Auto,Audi,Q5,2017,DEU,F,2.0,Автомат,AWD,Алматы,1,47835.59,47835.59,Алматинская Область,Внедорожники,Среднеразмерные SUV,2019-01-31,1,2
Mercur Auto,Audi,Q5,2017,DEU,F,2.0,Автомат,AWD,Алматы,1,49296.33,49296.33,Алматинская Область,Внедорожники,Среднеразмерные SUV,2019-02-28,1,2
Mercur Auto,Audi,Q5,2017,DEU,F,2.0,Автомат,AWD,Нур-Султан,1,49100.0,49100.0,Акмолинская Область,Внедорожники,Среднеразмерные SUV,2019-03-31,1,2
Mercur Auto,Audi,Q5,2017,DEU,F,2.0,Автомат,AWD,Алматы,1,56563.0,56563.0,Алматинская Область,Внедорожники,Среднеразмерные SUV,2019-03-31,1,2
Mercur Auto,Audi,Q5,2017,DEU,F,2.0,Автомат,AWD,Алматы,1,56250.0,56250.0,Алматинская Область,Внедорожники,Среднеразмерные SUV,2019-03-31,1,2
